task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,removed_unused_initializers,deduplicated_initializers
task054,outputs\onnx\task054.onnx,outputs\candidates\deduplicated_all\task054_DeduplicateInitializers.onnx,1061,1061,0,9728,9728,0,16,16,0,0
task055,outputs\onnx\task055.onnx,outputs\candidates\deduplicated_all\task055_DeduplicateInitializers.onnx,5090,5090,0,21458,21458,0,37,37,0,0
task056,outputs\onnx\task056.onnx,outputs\candidates\deduplicated_all\task056_DeduplicateInitializers.onnx,592,592,0,1515,1515,0,10,10,0,0
task057,outputs\onnx\task057.onnx,outputs\candidates\deduplicated_all\task057_DeduplicateInitializers.onnx,99,99,0,1880,1880,0,4,4,0,0
task058,outputs\onnx\task058.onnx,outputs\candidates\deduplicated_all\task058_DeduplicateInitializers.onnx,32257,32257,0,27439,27439,0,11,11,0,0
task059,outputs\onnx\task059.onnx,outputs\candidates\deduplicated_all\task059_DeduplicateInitializers.onnx,12909,12909,0,12715,12715,0,19,19,0,0
task060,outputs\onnx\task060.onnx,outputs\candidates\deduplicated_all\task060_DeduplicateInitializers.onnx,1057,1057,0,3039,3039,0,18,18,0,0
task061,outputs\onnx\task061.onnx,outputs\candidates\deduplicated_all\task061_DeduplicateInitializers.onnx,17726,17726,0,17030,17030,0,12,12,0,0
task062,outputs\onnx\task062.onnx,outputs\candidates\deduplicated_all\task062_DeduplicateInitializers.onnx,4713,4713,0,22124,22124,0,26,26,0,0
task063,outputs\onnx\task063.onnx,outputs\candidates\deduplicated_all\task063_DeduplicateInitializers.onnx,276,276,0,3709,3709,0,13,13,0,0
task064,outputs\onnx\task064.onnx,outputs\candidates\deduplicated_all\task064_DeduplicateInitializers.onnx,978,978,0,5809,5809,0,12,12,0,0
task065,outputs\onnx\task065.onnx,outputs\candidates\deduplicated_all\task065_DeduplicateInitializers.onnx,561,561,0,2705,2705,0,12,12,0,0
task066,outputs\onnx\task066.onnx,outputs\candidates\deduplicated_all\task066_DeduplicateInitializers.onnx,430,430,0,180173,180173,0,29,29,0,0
task067,outputs\onnx\task067.onnx,outputs\candidates\deduplicated_all\task067_DeduplicateInitializers.onnx,165,165,0,892,892,0,4,4,0,0
task068,outputs\onnx\task068.onnx,outputs\candidates\deduplicated_all\task068_DeduplicateInitializers.onnx,199,199,0,2335,2335,0,11,11,0,0
task069,outputs\onnx\task069.onnx,outputs\candidates\deduplicated_all\task069_DeduplicateInitializers.onnx,7362,7362,0,32330,32330,0,43,43,0,0
task070,outputs\onnx\task070.onnx,outputs\candidates\deduplicated_all\task070_DeduplicateInitializers.onnx,258,258,0,11844,11844,0,16,16,0,0
task071,outputs\onnx\task071.onnx,outputs\candidates\deduplicated_all\task071_DeduplicateInitializers.onnx,8238,8238,0,12082,12082,0,12,12,0,0
task072,outputs\onnx\task072.onnx,outputs\candidates\deduplicated_all\task072_DeduplicateInitializers.onnx,462,462,0,1625,1625,0,8,8,0,0
task073,outputs\onnx\task073.onnx,outputs\candidates\deduplicated_all\task073_DeduplicateInitializers.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task074,outputs\onnx\task074.onnx,outputs\candidates\deduplicated_all\task074_DeduplicateInitializers.onnx,321,321,0,1824,1824,0,13,13,0,0
task075,outputs\onnx\task075.onnx,outputs\candidates\deduplicated_all\task075_DeduplicateInitializers.onnx,509,509,0,7736,7736,0,30,30,0,0
task076,outputs\onnx\task076.onnx,outputs\candidates\deduplicated_all\task076_DeduplicateInitializers.onnx,1147810,1147810,0,948872,948872,0,44,44,0,0
task077,outputs\onnx\task077.onnx,outputs\candidates\deduplicated_all\task077_DeduplicateInitializers.onnx,6972,6972,0,9860,9860,0,20,20,0,0
task078,outputs\onnx\task078.onnx,outputs\candidates\deduplicated_all\task078_DeduplicateInitializers.onnx,276,276,0,2588,2588,0,11,11,0,0
task079,outputs\onnx\task079.onnx,outputs\candidates\deduplicated_all\task079_DeduplicateInitializers.onnx,1301,1301,0,2695,2695,0,7,7,0,0
task080,outputs\onnx\task080.onnx,outputs\candidates\deduplicated_all\task080_DeduplicateInitializers.onnx,9335,9335,0,18484,18484,0,31,31,0,0
task081,outputs\onnx\task081.onnx,outputs\candidates\deduplicated_all\task081_DeduplicateInitializers.onnx,627,627,0,3749,3749,0,17,17,0,0
task082,outputs\onnx\task082.onnx,outputs\candidates\deduplicated_all\task082_DeduplicateInitializers.onnx,443,443,0,2282,2282,0,10,10,0,0
task083,outputs\onnx\task083.onnx,outputs\candidates\deduplicated_all\task083_DeduplicateInitializers.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task084,outputs\onnx\task084.onnx,outputs\candidates\deduplicated_all\task084_DeduplicateInitializers.onnx,722,722,0,4301,4301,0,9,9,0,0
task085,outputs\onnx\task085.onnx,outputs\candidates\deduplicated_all\task085_DeduplicateInitializers.onnx,558,558,0,2547,2547,0,14,14,0,0
task086,outputs\onnx\task086.onnx,outputs\candidates\deduplicated_all\task086_DeduplicateInitializers.onnx,1153,1153,0,4727,4727,0,19,19,0,0
